Place Name,Rating,About Place,Best Time To Visit
Karimunjawa Islands,NaN,"An archipelago that consists of 27 islands that form a marine park, of which only 5 are inhabited by people, the Karimunjawa Islands are the archetypal castaway island paradise. A burgeoning tourism industry is beginning to take hold of these islands fringed by pearly white sandy beaches, and is qui...",NaN
Wakatobi Islands,NaN,"An island group that consists of 4 islands that are situated to the southeast of Sulawesi, Wakatobi is fast gaining a reputation for being amongst the world’s premier destinations for diving and snorkelling. Its pristine beaches, unspoilt marine ecosystem that contains the second largest coral reef ...",NaN
Tanjung Aan Beach,NaN,"A rugged trail road leading from Kuta (not to be confused with Kuta, Bali) in Lombok leads to one of the beaches in Lombok that is still fairly off the beaten tourist trail. The beach’s iconic swings dot the sandy white coastline and is a favourite amongst surfers and beach bums. The turquoise water...",NaN
Plengkung Beach,NaN,"Known the world over as G-Land, Plengkung beach is revered by surfers for its incredible waves that regularly swell to over 7m. Plengkung Beach's surf is meant for experienced surfers looking for the next big wave that they're looking for and it is a common sight to see surfers and their boards skim...",NaN
Pulau Biak,NaN,"Located in the Cenderawasih Bay in the Papua province, Pulau Biak or Biak Island is home to many corals, atolls and reefs. The largest island in the Biak-Numfor archipelago, it is a haven for diving and snorkelling enthusiasts. With a tropical climate throughout the year, the water temperature is ex...",NaN
Bali,4.7,"Bali, Indonesia’s most famous island, is located to the west of Java in the Lesser Sunda Islands. It is world-renowned for its scenic rice terraces, fragrant cuisine, stunning beaches and a galore of culture and tradition. With its elaborate temples, endl...","April, May, June and September"
Yogyakarta,3.4,"Located in Central Java, Yogyakarta, or Jogjakarta, is one of Indonesia’s most important cultural, intellectual, and literary hubs, and is the beating heart of Indonesian tradition. A short flight away from the capital Jakarta, Jogja or Yogya, as it is often abbreviated to, is easily accessible from...",NaN
Gili Trawangan,4.5,"Located just off the northeastern coast of Lombok and to Bali' west, Gili Trawangan is a part of the Gili Island archipelago comprising Gili Trawangan, Gili Meno, and Gili Air and more than 20 other smaller islands. It is also the most developed and tourist-friendly among them. The largest of the Gi...",NaN
Gili Air Island,4.0,"Gili Air, which is among the three Gili Islands in Indonesia, is the island closest to Lombok and offers the best of both worlds - be it peaceful travelling or party hopping. From temples to waterfalls, to beachside shacks, to secluded surf spots, along with cosy cafes and nightlife hubs, the y...",NaN
Nusa Penida,3.8,"The hidden treasure of Indonesia, Nusa Penida is the most exotic of the three Nusa Islands and is relatively less travelled. Located in the Klungkung district, it is a little off the shores of Bali. During this season, the island is relatively dry and is fairly suited for activities like snorkelling...",NaN
Komodo Island,4.0,"Komodo Island has been named as one of the new seven natural wonders of the world. Komodo Island, along with Rinca and the other islands that comprise Komodo National Park, is one of the only few places in the world where one finds Komodo dragons out of captivity. Apart from this, the island is also...",NaN
Borobudur,4.7,"The Borobudur Temple complex is the largest Buddhist temple in the world and is a UNESCO World Heritage Site. One of the most visited attractions in Indonesia, it was built in the 8th-Century. A marvel of Buddhist architecture, with multiple platforms stacked on each other, the temple is capped...",NaN
