Place Name,Rating,About Place
Beerfest Asia,NaN,"Beerfest Asia is a one-of-its-kind beer festival, held every year for more than a decade across different grand locations in Singapore. For those who have a taste for it, Beerfest Asia is the perfect place to find, sample and experiment with the old classics as well as the newest brews in the Asian market, which otherwise would be very difficult to find locally. Along with bringing a wide array of brews of varying flavours out to the visitors, Beerfest Asia is also an extravaganza of food, music and entertainment of the most unique kind."
Affordable Art Fair,NaN,"Art is a form of expression. It expresses how you feel. Even since mankind has started to evolve on this planet, man has been expressing his thought in artistic styles. The wall cave paintings of ancient times are fine examples of how man painted the wall to tell/inform others. In the present age, art has become a lifestyle and a profession as well. Every year, there are art exhibitions and art fairs organised at mass scale. So, here's the dream festival for all the artists and art lovers from all over the world. No matter if you are a budding artist or a seasoned art collector, this event marks the celebration of art. Perhaps among the largest fairs of its own kind, Affordable Art Fair Singapore host artists and art enthusiasts who come here to showcase and witness talent. A great way to connect with like-minded people, AAF Singapore is truly a carnival of art lovers who will come from different corners of the world to celebrate the essence of art. The biggest art exhibition show of Singapore brings all the professional and raw talents under one roof from all over so that they can unite, share, communicate, appreciate and be a part of art fraternity."
Laneway Festival Singapore,NaN,"St Jerome’s Laneway Festival is an indie music extravaganza held every year in the Meadow, Gardens by the Bay in Singapore’s Central Area. The festival is a haven for rock-n-roll, alternative, electronic, and indie enthusiasts – the grooving music event sets the stage for a toe-tapping, hip-swaying evening against the Singapore skyline. What started out as a small backyard music festival in Melbourne, Australia, has now grown to international heights, featuring artists like Sam Rui, Aurora, Gang of Youths, Tourist, Tycho, Mick Jenkins, and many more across nine cities spanning five countries."
Singapore National Day,NaN,"""One Heart, One Nation, One Singapore."" Celebrated each year on August 9, the National Day of Singapore is the celebration of Singapore's freedom from Malaysia in 1965. The celebrations begin with a National Day Parade and end with beautiful fireworks. Held at the Marina Bay, National Day celebrations involve an address by the Prime Minister, followed by a dazzling show of fireworks. While the National Day of Singapore is celebrated on 9th August each year, the rehearsals for it begins atleast 3 to 4 months in advance and the preview shows begin around two weeks in advance."
Resorts World Sentosa,NaN,"Resorts World Sentosa, also known as RWS, is one of Asia’s premium integrated resort situated in the Sentosa island. A Singaporean lifestyle destination, it is known to be the third most expensive building. The resort comprises of two casinos, Adventure Cove Water Park, Universal Studios, Dolphin Island, SEA Aquarium (known to be world’s second-largest oceanarium), a world-renowned spa, and the Maritime Experiential Museum."
Navratri,NaN,"Navarathri. The beautiful Indian festival that brings the entire city together in harmony and merriment. During this festival, Singapore is lit with bright candles, vibrant diyas and glittering lanterns. People are dressed in colourful ethnic wear, and the air is filled with the sounds of melodious beats, the scent of burning incense, and the wafting smell of delicious food. The city is decked with scintillating colours in the form of flowers and lanterns and different varieties of spicy Indian food. Navarathri is one of the festivals which show how Singapore is a multicultural city, when all the citizens, be it Indian or otherwise, come together and forget all their differences to immerse themselves in celebration."
Green Corridor,24,"Singapore's Green Corridor is one of the best walking trails in Singapore, steeped in heritage, nature and sunshine amidst its unimpaired paths. A 26-kilometre stretch of railway line that once used to connect the Malaysian Peninsula to Singapore, the trail has now been revamped to give visitors a taste of the natural vegetation and greenery of the country. While parts of the tracks have been removed to facilitate easy walking, some parts have been kept intact to give hikers a feel of what the track used to be like. Stretching from old Tanjong Pagar Rail Station in the south all the way to the Woodlands Checkpoint in the north, the now-unused line is an uninterrupted stretch of greenery that is used as a jogging track."
Punggol Beach,2.4,"A place laden with history, Punggol beach and its surroundings has a lot to offer to all individuals that visit. Punggol beach is considered a historic site in the National Heritage Boards list of Historic Sites. The unique placement of the boulders along the soft sands of the beach makes it a beautiful and artful place. The beach is an ideal spot for photographers and people who enjoy walking along with a scenic view."
Pu Ji Si Buddhist Research Centre,2.4,"The Pu Ji Si Buddhist Research Centre is a divine combination of an educational facility and house of worship, a serene 5-storeyed structure lying on Lorong 12 in the Geylang area of Singapore. This spiritual sanctuary serves as the new location for the Poh Jay Temple, where one can also find a library, classrooms, a multi-purpose hall and a tranquil rooftop garden in addition to the main shrine and meditation halls."
Sri Muneeswaran Hindu Temple,2.4,"Sri Muneeswaran Temple, considered to be the largest shrine in Southeast Asia dedicated to Sri Muneeswaran, is situated on the Tanglin Halt Road at Commonwealth Drive Singapore. The grand temple gets its name from the merging of the two words: 'muni' meaning 'saint', and 'ishwar', signifying 'god'. Along with the presiding deity, Sri Muneeswaran Temple also includes the idols of several well-known Hindu gods like Lord Vinayagar, Sri Durgai Amman, Sri Ayappan, Sri Krishna and Sri Mariamman, to name a few. It is also said to be the only temple in Singapore to house the deities of Sri Naga Raja and Rani."
