Place Name,Rating,About Place,Best Time To Visit
Ko Jum,4.0,"One of the Islands in Krabi, Ko Jum has become a relaxing spot for tourists, away from other crowded destinations in Thailand. Located around 25 kilometres south of Krabi, this island is known for its laid-back lifestyle. Just like its neighbouring islands, Koh Phi and Koh Lanta, Koh Jum offers a ra...",NaN
Hang Dong,3.0,Hang Dong is a district of Chiang Mai Province in northern Thailand. It is mostly famous for its trade in antiques and handicrafts. They sell everything from gigantic Buddhist wood carvings to Burmese Lacquer boxes to Thai Knick-knacks. Don’t worry about carrying your antiques till your home country...,NaN
Koh Kret,3.9,"Koh Kret is a small artificial island in Chao Phraya River which lies to the north of Bangkok in Thailand. The island has the old world charm and gives a bird’s eye view of its early settlers, evolution and culture. Koh Kret is an old village type island where Mon people stay (they were one of the f...",NaN
Koh Phra Thong,3.1,Koh Phra Thong is also known as The Golden Buddha Islands because there’s an interesting local story behind that. The story tells of a precious golden Buddha statue stolen and buried on the island by pirates and it was never recoveredIt is largely flat with expanses of inland savanna. It has long un...,NaN
Koh Rok,3.0,Koh Rok and the several other islands that form the Mu Ko Lanta are part of the Mu Koh Lanta National Park which was established in 1990 in Thailand. The park occupies the southern portion of the province of Krabi. Koh Rok is located approximately 30 kilometres to the south of the Koh Lanta Island. ...,NaN
Golden Triangle,3.2,"The Golden Triangle in Thailand is that part of the natural terrain which islands situated in the far northern region of Thailand, in between the borders of Thailand, Myanmar and Laos. The landmass is triangular is a shape and is precisely located at the confluence of River Mekong and River Ruak. It...",NaN
Koh Poda,3.0,"This island destination is included in the Poda Group of Islands which consists of three more islands, namely, the Ko Kai, Ko Thap and the Ko Mo island. In the local language, the Poda Group of Islands is known as Mu Ko Poda. The island has a small area and comes under the Haad Noppharat Thara Mu Ko...",NaN
Mae Hong Son,3.9,"Located in the north-west Thesaban Mueang municipality of Thailand, Mae Hong Son is a town and the capital of the Mae Hong Son province.  It is in the Shan Hills, close to the outskirts with Burma along the banks of the River Pai. The town covers the Tambon Chong Kham of the Muang Mae Hong Son ...",NaN
Ao Nang,3.2,"A town of multi-views, Ao Nang is one of the rapidly growing tourist centres in Krabi, Thailand. Located in South of Krabi, this destination is known for its long-tail boat tours and limestone islands. Despite the lack of popularity of this town, it still has the potential to be one of the leading t...",NaN
Samut Prakan,3.0,"The city of Samut Prakan is located very close to the capital city of Bangkok, at the junction of The Gulf of Thailand and the Phraya River. Samut in Sanskrit means ‘Ocean or Sea’ and Prakarn in Sanskrit means ‘Port’. Located at the end of Chao Phraya River, it is sometimes called as ‘Pak Nam’ which...",NaN
Lampang,3.7,"Lampang, also known as Nakhon Lampang, is the capital of Lampang Province and Lampang District, in Northern Thailand. Known as a trading and transportation centre, Lampang is the third-largest city in Northern Thailand. Geographically, Lampang is situated in the valley of Wang River, which is border...",NaN
Khao Sok National Park,NaN,"Khao Sok National Park is located in the Phanom district of Thailand. Falling under the Surat Thani province of Thailand, it is accomplished as the oldest rainforests of the world. This National Park will welcome you with enormous limestone mountains, deep valleys, lakes, caves, and the unique ecosy...",NaN
